file,epoch,bucket,candidate,mae,mse,psnr,ssim,mae_improvement_vs_cloudy_pct
epoch_0003_stage1_heavy.png,3,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0003_stage1_high.png,3,high,stage1_output,0.24404653906822205,0.09455079585313797,10.24334765141824,0.19047676026821136,-3.9403331193518487
epoch_0003_stage1_high.png,3,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0003_stage1_medium.png,3,medium,stage1_output,0.14241178333759308,0.051575325429439545,12.87557945092393,0.5388137698173523,-11.110551772397766
epoch_0003_stage1_medium.png,3,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0004_stage1_heavy.png,4,heavy,stage1_output,0.27584800124168396,0.10515277087688446,9.78179288659055,0.06671570986509323,6.522465395552832
epoch_0004_stage1_heavy.png,4,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0004_stage1_high.png,4,high,stage1_output,0.25152766704559326,0.09924467653036118,10.032927150887733,0.19427232444286346,-7.126573485821849
epoch_0004_stage1_high.png,4,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0004_stage1_medium.png,4,medium,stage1_output,0.1284797042608261,0.04762524366378784,13.221627006546308,0.5517489910125732,-0.24065774202350376
epoch_0004_stage1_medium.png,4,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0005_stage1_heavy.png,5,heavy,stage1_output,0.2301798313856125,0.08312847465276718,10.802501492602545,0.08812787383794785,21.99819082704674
epoch_0005_stage1_heavy.png,5,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0005_stage1_high.png,5,high,stage1_output,0.2519151568412781,0.10271770507097244,9.883546049856772,0.19668085873126984,-7.2916068380570564
epoch_0005_stage1_high.png,5,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0005_stage1_medium.png,5,medium,stage1_output,0.13316325843334198,0.049250755459070206,13.075870846022823,0.5493998527526855,-3.8947955961260847
epoch_0005_stage1_medium.png,5,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0006_stage1_heavy.png,6,heavy,stage1_output,0.29905983805656433,0.12064026296138763,9.185077830736821,0.0947411060333252,-1.3434073652749885
epoch_0006_stage1_heavy.png,6,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0006_stage1_high.png,6,high,stage1_output,0.2616974115371704,0.10737498104572296,9.690968778104848,0.20293425023555756,-11.457905674465303
epoch_0006_stage1_high.png,6,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0006_stage1_medium.png,6,medium,stage1_output,0.1267583966255188,0.04861365631222725,13.13241775956467,0.5557844638824463,1.102317092268527
epoch_0006_stage1_medium.png,6,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0007_stage1_heavy.png,7,heavy,stage1_output,0.2218928337097168,0.07489688694477081,11.25536393068445,0.10038337856531143,24.806433440836084
epoch_0007_stage1_heavy.png,7,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0007_stage1_high.png,7,high,stage1_output,0.24378271400928497,0.09761852771043777,10.10467810639603,0.2030145674943924,-3.8279690406976283
epoch_0007_stage1_high.png,7,high,cloudy_s2,0.23479484021663666,0.0937790498137474,10.278940909850334,0.31161338090896606,0.0
epoch_0007_stage1_medium.png,7,medium,stage1_output,0.14421187341213226,0.05846959725022316,12.330698734538185,0.5410478115081787,-12.514993151717732
epoch_0007_stage1_medium.png,7,medium,cloudy_s2,0.12817125022411346,0.0346493236720562,14.603052523802752,0.5712478756904602,0.0
epoch_0008_stage1_heavy.png,8,heavy,stage1_output,0.25747913122177124,0.09524824470281601,10.211430910688568,0.11200922727584839,12.747185803900356
epoch_0008_stage1_heavy.png,8,heavy,cloudy_s2,0.2950955033302307,0.1292724311351776,8.884941748377155,0.11364012956619263,0.0
epoch_0008_stage1_high.png,8,high,stage1_output,0.24049948155879974,0.09566973149776459,10.192255037931716,0.2105340212583542,-2.4296280688705174
