epoch,split,term,raw_value,weight,weighted_contribution,share_of_recon_total,share_of_total
10,train,grad,0.0,0.0,0.0,0.0,0.0
10,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
10,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
10,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
10,train,cloud_l1,0.0467891920278196,100.0,4.67891920278196,0.9270457131483594,0.8209778967330549
10,train,cloud_kl,0.3835517574523202,0.96,0.36820968715422736,0.0729542864969904,0.06460723116075162
10,train,cloud_adv,0.4866754809103975,0.05,0.024333774045519875,,0.004269680618462108
10,train,feature_matching,0.1504327428131293,0.625,0.09402046425820582,0.0186285046954785,0.01649712671906641
10,train,perceptual,0.1482553577181578,3.6,0.533719287785368,0.10574710874935322,0.09364806685940855
10,val,final_l1,0.0,0.0,0.0,0.0,0.0
10,val,grad,0.0,0.0,0.0,0.0,0.0
10,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
10,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
10,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
10,val,cloud_l1,0.0437710419805212,100.0,4.377104198052121,0.9271413561596209,0.828080886795193
10,val,cloud_kl,0.3583033396439118,0.96,0.34397120605815534,0.07285865632500556,0.06507406916915658
10,val,cloud_adv,0.0,0.05,0.0,,0.0
10,val,feature_matching,0.0,0.625,0.0,0.0,0.0
10,val,perceptual,0.1568794525651769,3.6,0.5647660292346369,0.11962656554772068,0.1068450585500202
11,train,final_l1,0.0,0.0,0.0,0.0,0.0
11,train,grad,0.0,0.0,0.0,0.0,0.0
11,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
11,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
11,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
11,train,cloud_l1,0.0472195209359995,100.0,4.72195209359995,0.9165657664243765,0.7852865931257609
11,train,cloud_kl,0.3837816315142022,1.12,0.4298354272959065,0.0834342301756524,0.0714839946731902
11,train,cloud_adv,0.4892205631514208,0.1,0.048922056315142085,,0.008136006924868084
11,train,feature_matching,0.1587368280737908,1.25,0.19842103509223852,0.03851498797510749,0.03299850899869635
11,train,perceptual,0.1461666054476838,4.2,0.613899742880272,0.11916247288985207,0.10209490228853484
11,val,final_l1,0.0,0.0,0.0,0.0,0.0
11,val,grad,0.0,0.0,0.0,0.0,0.0
11,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
11,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
11,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
11,val,cloud_l1,0.042392855933444,100.0,4.2392855933444,0.9136011174591898,0.8026036116178701
11,val,cloud_kl,0.3579531247642907,1.12,0.40090749973600565,0.08639888294660332,0.07590189434700532
11,val,cloud_adv,0.0,0.1,0.0,,0.0
11,val,feature_matching,0.0,1.25,0.0,0.0,0.0
11,val,perceptual,0.1527913975614038,4.2,0.641723869757896,0.13829680298763017,0.1214945028326711
12,train,final_l1,0.0,0.0,0.0,0.0,0.0
12,train,grad,0.0,0.0,0.0,0.0,0.0
12,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
12,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
12,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
12,train,cloud_l1,0.045631114268157,100.0,4.563111426815699,0.9030706676779409,0.7458049824199194
12,train,cloud_kl,0.3826349065026741,1.28,0.48977268032342286,0.09692933177806275,0.08004952565738001
12,train,cloud_adv,0.5054204860411653,0.15,0.0758130729061748,,0.012391055623519283
12,train,feature_matching,0.160187011146035,1.875,0.30035064589881566,0.05944142778004079,0.04908997112540267
12,train,perceptual,0.1436089476747068,4.8,0.6893229488385927,0.13642168192412576,0.11266446107781576
12,val,final_l1,0.0,0.0,0.0,0.0,0.0
12,val,grad,0.0,0.0,0.0,0.0,0.0
12,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
12,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
12,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
12,val,cloud_l1,0.0453436241315847,100.0,4.53436241315847,0.9094664340633453,0.7884472950747083
12,val,cloud_kl,0.3526380742815407,1.28,0.4513767350803721,0.0905335639871701,0.07848661694993961
12,val,cloud_adv,0.0,0.15,0.0,,0.0
12,val,feature_matching,0.0,1.875,0.0,0.0,0.0
12,val,perceptual,0.1594298738054931,4.8,0.7652633942663668,0.15349045949281534,0.13306608476597745
13,train,final_l1,0.0,0.0,0.0,0.0,0.0
13,train,grad,0.0,0.0,0.0,0.0,0.0
13,train,shadow_removal,0.0,0.0,0.0,0.0,0.0
13,train,shadow_mask,0.0,0.0,0.0,0.0,0.0
13,train,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
13,train,cloud_l1,0.0454917652219169,100.0,4.54917652219169,0.8919713765940634,0.7120043321136943
13,train,cloud_kl,0.3826116623317065,1.44,0.5509607937576574,0.10802861908304456,0.08623241372732159
13,train,cloud_adv,0.5133412428405306,0.2,0.10266824856810614,,0.01606889453386151
13,train,feature_matching,0.1698910993743198,2.5,0.42472774843579947,0.08327770808670625,0.06647532699159611
13,train,perceptual,0.1410593779512683,5.4,0.7617206409368489,0.1493529664901238,0.11921902646814969
13,val,final_l1,0.0,0.0,0.0,0.0,0.0
13,val,grad,0.0,0.0,0.0,0.0,0.0
13,val,shadow_removal,0.0,0.0,0.0,0.0,0.0
13,val,shadow_mask,0.0,0.0,0.0,0.0,0.0
13,val,shadow_penumbra,0.0,0.0,0.0,0.0,0.0
13,val,cloud_l1,0.0408711569299074,100.0,4.08711569299074,0.8891842222730183,0.7558146518553607
13,val,cloud_kl,0.3537238020111214,1.44,0.5093622748960148,0.11081577627845594,0.09419441468931723
13,val,cloud_adv,0.0,0.2,0.0,,0.0
13,val,feature_matching,0.0,2.5,0.0,0.0,0.0
13,val,perceptual,0.1502010126344182,5.4,0.8110854682258584,0.1764580343292452,0.14999092926177615
