epoch,total_train,total_val,total_gap_val_minus_train,recon_total_train,recon_total_val,recon_total_gap_val_minus_train,gan_total_train,gan_total_val,gan_total_gap_val_minus_train,final_l1_train,final_l1_val,final_l1_gap_val_minus_train,grad_train,grad_val,grad_gap_val_minus_train,shadow_removal_train,shadow_removal_val,shadow_removal_gap_val_minus_train,shadow_mask_train,shadow_mask_val,shadow_mask_gap_val_minus_train,shadow_penumbra_train,shadow_penumbra_val,shadow_penumbra_gap_val_minus_train,cloud_l1_train,cloud_l1_val,cloud_l1_gap_val_minus_train,cloud_kl_train,cloud_kl_val,cloud_kl_gap_val_minus_train,cloud_adv_train,cloud_adv_val,cloud_adv_gap_val_minus_train,feature_matching_train,feature_matching_val,feature_matching_gap_val_minus_train,perceptual_train,perceptual_val,perceptual_gap_val_minus_train,disc_total_train,disc_total_val,disc_total_gap_val_minus_train,disc_real_loss_train,disc_real_loss_val,disc_real_loss_gap_val_minus_train,disc_fake_loss_train,disc_fake_loss_val,disc_fake_loss_gap_val_minus_train,disc_real_gp_train,disc_real_gp_val,disc_real_gp_gap_val_minus_train
24,8.6205429389207,6.501970068974928,-2.1185728699457718,5.402666205659918,4.793730632825331,-0.6089355728345875,3.2178767365417715,1.7082394354722716,-1.5096373010695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041779033643185,0.0365508172068406,-0.005228216436344399,0.3827383858165974,0.3558277657086199,-0.026910620107977512,0.5268153008244453,0.0,-0.5268153008244453,0.1334325289382209,0.0,-0.1334325289382209,0.1309862758178229,0.1423532856120304,0.011367009794207489,1.1768611500022608,,,0.4271546799108522,,,0.7240533266410186,,,0.0256531431492053,,
25,8.93418060092751,6.580782798203555,-2.353397802723955,5.524508779566587,4.758202634074471,-0.7663061454921163,3.409671806414193,1.822580143131993,-1.5870916632822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424122217877423,0.0356249885040928,-0.006787233283649503,0.3819305494382111,0.3558642325753515,-0.026066316862859595,0.5238044910383516,0.0,-0.5238044910383516,0.1330934490137007,0.0,-0.1330934490137007,0.1317217204640035,0.1446492128412831,0.012927492377279609,1.1901251746609305,,,0.428909282117444,,,0.736457236771919,,,0.0247586573472685,,
26,9.034245887663024,7.0119707421822985,-2.0222751454807257,5.505136146457917,5.115486014973033,-0.3896501314848839,3.52910973500768,1.8964847522703083,-1.6326249827373718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415913241855595,0.0384376900778575,-0.0031536341077019955,0.382387430797294,0.3612832288173112,-0.021104201979982806,0.5245626598414296,0.0,-0.5245626598414296,0.1275949273030601,0.0,-0.1275949273030601,0.1308738920006001,0.1436730896292085,0.0127991976286084,1.1812304571863343,,,0.4265306670822499,,,0.7326207252088308,,,0.0220790654613098,,
27,9.20838823522632,6.814077247272838,-2.3943109879534816,5.573363057699408,4.900393881581047,-0.6729691761183618,3.635025199035621,1.9136833880435336,-1.7213418109920875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416869670579876,0.0358207865872166,-0.005866180470770997,0.3817028113005722,0.3582378249954093,-0.023464986305162916,0.5215343488465756,0.0,-0.5215343488465756,0.1223242134283031,0.0,-0.1223242134283031,0.129673685696238,0.1386727064593949,0.008999020763156895,1.183274597202966,,,0.4290849889545994,,,0.7316158959807242,,,0.0225737138433433,,
28,9.4724744321374,6.985676597465169,-2.486797834672231,5.653038371229026,4.964829824187539,-0.6882085470414872,3.8194360720272815,2.0208467651497237,-1.7985893068775578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418257468724651,0.0359448988244614,-0.005880848048003699,0.3829332548179393,0.3568593554876067,-0.02607389933033255,0.5249105313684598,0.0,-0.5249105313684598,0.1226952148897613,0.0,-0.1226952148897613,0.129428155970865,0.1403365846384655,0.0109084286676005,1.185020199609459,,,0.4258209860197265,,,0.7370533872088161,,,0.0221458227887738,,
29,9.6429300264481,7.177503867582842,-2.4654261588652586,5.687697069360576,5.0662055665796455,-0.6214915027809305,3.9552329672950486,2.111298313195056,-1.8439346540999928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0416086573803096,0.0363421949600292,-0.005266462420280393,0.3817078280704101,0.3579965105110949,-0.023711317559315215,0.5224302534116517,0.0,-0.5224302534116517,0.120488470163914,0.0,-0.120488470163914,0.1284464556575733,0.1407532201741229,0.012306764516549606,1.1840723415762642,,,0.4266929590465096,,,0.7352913550645204,,,0.0220880297358669,,
30,9.65595749175512,7.40886492620815,-2.2470925655469696,5.650365727392541,5.216746628284454,-0.4336190991080864,4.005591760352481,2.192118340595202,-1.8134734197572793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041279004103524,0.0380373876118524,-0.003241616491671602,0.3806163261242963,0.3532519767230207,-0.02736434940127558,0.5225661244778823,0.0,-0.5225661244778823,0.1171466268097771,0.0,-0.1171466268097771,0.1279565242406789,0.1461412221701307,0.018184697929451793,1.1861028049699394,,,0.4279154416071166,,,0.7351619268593803,,,0.0230254355685597,,
31,9.684195404752678,6.923729148778048,-2.76046625597463,5.66491065477377,4.875669766556133,-0.7892408882176376,4.019284740500494,2.048059358515523,-1.9712253819849708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414722533412391,0.0345329503655772,-0.0069393029756619,0.3794213244492125,0.3555936881087043,-0.023827636340508218,0.5140590870052303,0.0,-0.5140590870052303,0.1118680312033366,0.0,-0.1118680312033366,0.1277089538309005,0.1365372901359065,0.008828336305006013,1.1862137476238637,,,0.4264472242251084,,,0.7389630174053554,,,0.0208035074950506,,
32,9.702791547921093,7.066260522062128,-2.6365310258589645,5.58184575961635,4.967109539292076,-0.6147362203242741,4.120945773722564,2.0991509543223814,-2.0217948194001827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405751550199879,0.0355321092700416,-0.0050430457499463024,0.3810825620404806,0.3534746667878194,-0.027607895252661163,0.5149609951889114,0.0,-0.5149609951889114,0.1122632196361045,0.0,-0.1122632196361045,0.1276637909062412,0.1399433978579261,0.012279606951684896,1.1913841886257908,,,0.426813626918224,,,0.7447575456505522,,,0.0198130135158139,,
33,9.790482846239655,7.087146639823914,-2.7033362064157416,5.575877621997751,5.050597635182467,-0.525279986815284,4.214605235907645,2.036549011414701,-2.178056224492944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0405328630409929,0.0362506852146576,-0.004282177826335297,0.3806478247183179,0.3563822795721618,-0.024265545146156087,0.5182540187959642,0.0,-0.5182540187959642,0.1127456764118113,0.0,-0.1127456764118113,0.1267676837058789,0.1357699338008057,0.009002250094926806,1.1876772829881137,,,0.4271699683199599,,,0.7413003411861735,,,0.0192069800482316,,
