epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
20,train,14.79265278553276,14.681739308706527,0.11091343325719911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037805903802622005,0.36337163100026765,0.4388405989717554,0.10139254907935613,0.15310051374965244,1.3104735500037425,0.43811873055289313,0.8207297298152751,0.05162509127640752,0.6517741713258955,0.648589692733906,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.05,0.5,0.25
20,val,14.877757549285889,14.840850681066513,0.03690688041388057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556236968142912,0.3761537913233042,0.0,0.0,0.1476275216555223,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.05,0.5,0.25
21,train,14.84203516799236,14.62994754069136,0.21208763570206646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03751700454288059,0.3626082369084221,0.4286028680242138,0.09653861341239126,0.14537746909959817,1.2295822886282524,0.41915604275931057,0.7968844974973074,0.013541749974620747,0.7318930451762039,0.725373587981173,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.1,1.0,0.5
21,val,15.19962963461876,15.128104478120804,0.07152519497321919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038102197693660855,0.3772628251463175,0.0,0.0,0.14305038994643837,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.1,1.0,0.5
22,train,14.830460163791484,14.511289070663139,0.31917108607635575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03649278630506354,0.3620670152667128,0.4342983628741998,0.09861686945712739,0.14146803343982853,1.2141507270404832,0.41859395685509887,0.7794658882627762,0.016090880710547293,0.7489256261552802,0.740044749690672,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.15,1.5,0.75
22,val,15.35831743478775,15.251472473144531,0.10684499837225303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04017738567199558,0.37445779610425234,0.0,0.0,0.14245999947888777,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.15,1.5,0.75
23,train,15.050636954758884,14.619976958129632,0.43065998013372775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371963488850206,0.3633447348335643,0.4302913141839298,0.10221412533380612,0.1401734653201123,1.2121871413026817,0.41373989243566256,0.7855454700473895,0.012901779294393404,0.7550546355208252,0.7426481877334814,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.2,2.0,1.0
23,val,15.257704228162766,15.11344599723816,0.14425826130900532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03835577954305336,0.3759289365261793,0.0,0.0,0.14425826130900532,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.2,2.0,1.0
24,train,15.135705508322383,14.589555449937107,0.5461500491870284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03692300013676592,0.3632418469146446,0.43140207077740644,0.1064351666335461,0.13776929265677684,1.206691330843011,0.41098227275251853,0.781903629440339,0.013805431994099799,0.7698124009395333,0.7514343016432146,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.25,2.5,1.25
24,val,15.062282621860504,14.882940828800201,0.1793418109882623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03609397204127163,0.3757847920060158,0.0,0.0,0.1434734492795542,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,30.0,0.25,2.5,1.25
